k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
23,logreg,0,val,0.6694594594594595,0.6486550959562984,0.7438540840602696,0.6912718204488778,0.6691919191919192,0.4903025601241272
23,logreg,0,test,0.6911111111111111,0.6583571043225298,0.7605294825511432,0.7406143344709898,0.6644790812141099,0.46780551905387646
23,mlp,0,val,0.7524324324324324,0.7264314469174452,0.8420284567676031,0.7397003745318352,0.6862611073137389,0.6377358490566037
23,mlp,0,test,0.7329629629629629,0.6975820173072482,0.8429290106204583,0.734375,0.6583747927031509,0.5546492659053833
23,mlp,1,val,0.744054054054054,0.7191921286770022,0.8241430700447094,0.7452471482889734,0.7003322259136212,0.6070460704607046
23,mlp,1,test,0.7118518518518518,0.6813102472098467,0.8111239860950173,0.7229190421892816,0.6537530266343826,0.5374449339207048
23,mlp,2,val,0.7591891891891892,0.7324124905356553,0.8565248738284066,0.7365384615384616,0.6860541969596827,0.6505324298160697
23,mlp,2,test,0.725925925925926,0.6937413247085754,0.8453837597330367,0.7135506003430532,0.6474358974358975,0.5685950413223141
32,lda,0,val,0.6991891891891892,0.6829203052596875,0.7361487795428129,0.7435508345978755,0.7316439246263807,0.5203376822716808
32,lda,0,test,0.692962962962963,0.6666321169869032,0.7220873786407767,0.7522281639928698,0.714968152866242,0.47724477244772445
32,logreg,0,val,0.7345945945945946,0.7098069051555307,0.7947269303201506,0.7655786350148368,0.7306461932181701,0.5482758620689655
32,logreg,0,test,0.7585185185185185,0.7216059052830646,0.7911059098888239,0.8237232289950577,0.7560137457044673,0.5155807365439093
32,mlp,0,val,0.7943243243243243,0.768409666403126,0.8724453840732911,0.778777830412127,0.7398921832884097,0.6825232678386763
32,mlp,0,test,0.7788888888888889,0.73966261213475,0.8467874794069192,0.8041125541125541,0.7358326068003488,0.571917808219178
32,mlp,1,val,0.8032432432432433,0.7777123741503321,0.8742897727272727,0.7994467496542186,0.7466852756454989,0.6904276985743381
32,mlp,1,test,0.7807407407407407,0.738513065900331,0.8431480462300496,0.8159412690089145,0.7327823691460055,0.5621805792163543
32,mlp,2,val,0.798918918918919,0.772103946086538,0.8714887640449438,0.7894002789400278,0.7503448275862069,0.6771819137749737
32,mlp,2,test,0.7785185185185185,0.7374085814991247,0.8476242490442382,0.8072417465388712,0.7248201438848921,0.5699481865284974
64,lda,0,val,0.6932432432432433,0.6839058413936513,0.7003284072249589,0.7629592350276799,0.7491940683430045,0.5231416549789621
64,lda,0,test,0.7244444444444444,0.6965398058292891,0.7552363853979653,0.7820069204152249,0.7327868852459016,0.5161290322580645
64,logreg,0,val,0.7227027027027026,0.7078830792744404,0.759170653907496,0.7661691542288557,0.7325728770595691,0.5736196319018405
64,logreg,0,test,0.7896296296296297,0.7482329908159594,0.8138087153367289,0.8563941299790356,0.782851817334576,0.5398773006134969
64,mlp,0,val,0.8010810810810811,0.7806833504685458,0.8469199557358909,0.8235294117647058,0.7856173677069199,0.6666666666666666
64,mlp,0,test,0.8240740740740741,0.7939585475615767,0.8741935483870967,0.8400664084117322,0.7972508591065293,0.664323374340949
64,mlp,1,val,0.7883783783783784,0.7680441720101576,0.8348794063079777,0.8127679847546451,0.7761194029850746,0.6484098939929329
64,mlp,1,test,0.8159259259259259,0.7848458199530794,0.8684782608695653,0.8358045030203185,0.7844155844155845,0.6506849315068494
64,mlp,2,val,0.7956756756756757,0.7761003427844907,0.8457016899338722,0.8076923076923077,0.7788911155644622,0.6721162579473207
64,mlp,2,test,0.825925925925926,0.7954911190205641,0.8830752802989856,0.8344444444444444,0.7965811965811965,0.6678635547576302
128,lda,0,val,0.7827027027027027,0.7638018088453398,0.7988252569750367,0.8316831683168316,0.8396293656450463,0.5850694444444444
128,lda,0,test,0.8625925925925926,0.836201807324477,0.9041095890410958,0.8729281767955801,0.8441330998248686,0.7236363636363636
128,logreg,0,val,0.7910810810810811,0.7649801290503698,0.8412296564195298,0.8131241084165478,0.7801980198019802,0.6253687315634219
128,logreg,0,test,0.8755555555555555,0.8517878232744398,0.9254362771020624,0.8790016277807922,0.8370883882149047,0.765625
128,mlp,0,val,0.8251351351351351,0.8024784669435697,0.8716289104638619,0.8427382053654024,0.802787456445993,0.6927592954990215
128,mlp,0,test,0.8711111111111111,0.8473933619049725,0.9182590233545648,0.8766974470396524,0.8365217391304348,0.758095238095238
128,mlp,1,val,0.8221621621621622,0.79911522024336,0.8688172043010752,0.8399440037330844,0.8027681660899654,0.684931506849315
128,mlp,1,test,0.8685185185185185,0.8439924565127066,0.9176845459373341,0.8753402286336418,0.8305821025195482,0.7523629489603024
128,mlp,2,val,0.8216216216216217,0.7987727846980821,0.8652737752161384,0.8431828757561657,0.8063623789764869,0.6802721088435374
128,mlp,2,test,0.8818518518518519,0.8598960972687686,0.9263932702418507,0.8857606930157012,0.8456843940714909,0.7817460317460317
256,lda,0,val,0.7297297297297297,0.7045223069492518,0.739568345323741,0.7996219281663516,0.8088445078459344,0.47005444646098005
256,lda,0,test,0.8796296296296297,0.856762657657657,0.9045643153526971,0.8870880605078336,0.8844404003639672,0.7509578544061303
256,logreg,0,val,0.7948648648648649,0.7726353858604297,0.8455640744797371,0.8060836501901141,0.7831245880026367,0.6557692307692308
256,logreg,0,test,0.88,0.8590531172267846,0.9356357927786499,0.8757525998905309,0.8329048843187661,0.7919191919191919
256,mlp,0,val,0.8210810810810811,0.799035334015049,0.8641796450561391,0.8438818565400844,0.8054794520547945,0.6826003824091779
256,mlp,0,test,0.8922222222222222,0.8737443389039393,0.9370119729307652,0.8908015061861215,0.8515901060070671,0.8155737704918032
256,mlp,1,val,0.8243243243243243,0.8025834887104701,0.8684971098265896,0.8431924882629108,0.8081911262798634,0.6904532304725168
256,mlp,1,test,0.9011111111111111,0.8838684361232023,0.9456802897051215,0.8974771873322598,0.8596802841918295,0.8326359832635983
