k,model,seed,split,acc,macro_f1,f1_Asphalt,f1_Meadows,f1_Gravel,f1_Trees,f1_PaintedMetal,f1_BareSoil,f1_Bitumen,f1_Bricks,f1_Shadows
16,mlp,1,val,0.8933895009721322,0.8870739554018136,0.9093484419263456,0.9180771834800271,0.8709677419354839,0.9234104046242775,0.9981515711645101,0.7595212187159956,0.8593548387096774,0.749379652605459,0.9954545454545455
16,mlp,1,test,0.9172779772124239,0.874019702806435,0.9206066012488849,0.9760894716544543,0.5294117647058824,0.9574898785425101,1.0,0.9320531757754801,0.7150837988826816,0.8394912174439734,0.9959514170040485
16,mlp,2,val,0.8971160077770577,0.8910052892964931,0.9211502782931354,0.9177001127395716,0.8723404255319149,0.9215262778977682,0.996309963099631,0.764512595837897,0.8813096862210096,0.7487437185929648,0.9954545454545455
16,mlp,2,test,0.9152489464648041,0.8750649692564161,0.9272567922874672,0.9740812379110252,0.5058236272878536,0.9655870445344129,1.0,0.9262235208181154,0.7532467532467533,0.8274143302180685,0.9959514170040485
23,lda,0,val,0.7733311730395334,0.783152922372771,0.7930521091811414,0.7950455713951858,0.8771551724137931,0.8663400979706088,1.0,0.31341821743388837,0.669833729216152,0.7470449172576832,0.9864864864864865
23,lda,0,test,0.7945996566255658,0.7567089206108414,0.8364485981308412,0.8819729888432178,0.34516129032258064,0.9059459459459459,1.0,0.6444296197464977,0.47317073170731705,0.7313156269302038,0.9919354838709677
23,logreg,0,val,0.8177252106286454,0.8254190639182134,0.8539651837524178,0.8296612177209192,0.8606811145510835,0.8944011339475549,0.9908256880733946,0.4921369102682701,0.7416879795396419,0.7766990291262136,0.9887133182844243
23,logreg,0,test,0.8788824722959263,0.8375440028847534,0.8864767073722297,0.9430862507334246,0.48027444253859347,0.9456410256410256,1.0,0.8219749652294854,0.625,0.8394912174439734,0.9959514170040485
23,mlp,0,val,0.9133182112767336,0.90511900684526,0.9267840593141798,0.9365397461589846,0.8934782608695652,0.9568452380952381,0.9981515711645101,0.7659115426105717,0.8882907133243607,0.7846153846153846,0.9954545454545455
23,mlp,0,test,0.9250819416263462,0.883559521623135,0.9319877139096094,0.9789615904265586,0.5424354243542435,0.963855421686747,1.0,0.9379615952732644,0.75,0.8508825319537432,0.9959514170040485
23,mlp,1,val,0.905703175631886,0.8980815286771848,0.912961210974456,0.9320214669051878,0.8789808917197452,0.9481481481481482,0.9981515711645101,0.7649572649572649,0.8629961587708067,0.7890625,0.9954545454545455
23,mlp,1,test,0.9207117215545497,0.877667642665545,0.918531781557744,0.9797882579403272,0.54673721340388,0.9636363636363636,1.0,0.938472942920682,0.7071823204419889,0.8487084870848709,0.9959514170040485
23,mlp,2,val,0.9081335061568373,0.9015472311427379,0.9285051067780873,0.9281544678940279,0.881104033970276,0.9441997063142438,0.996309963099631,0.7709011943539631,0.8989071038251366,0.7703889585947302,0.9954545454545455
23,mlp,2,test,0.9230529108787264,0.884017861265477,0.9305799648506151,0.9787562765546544,0.5438898450946644,0.9668341708542714,1.0,0.9337260677466863,0.7634069400630915,0.8430160692212608,0.9959514170040485
32,lda,0,val,0.7765716137394686,0.7848354166405698,0.7905372104484968,0.8004651162790698,0.8864628820960698,0.8762306610407876,1.0,0.3081510934393638,0.6699029126213593,0.7430555555555556,0.9887133182844243
32,lda,0,test,0.806929920399563,0.7698554032104714,0.8527918781725888,0.8860660543287082,0.3831932773109244,0.9096774193548387,1.0,0.6496301277740417,0.5012658227848101,0.7541385652973636,0.9919354838709677
32,logreg,0,val,0.8201555411535969,0.8275140144253631,0.8517624336069531,0.8328209978718373,0.8663212435233161,0.902072909220872,0.9908256880733946,0.4986098239110287,0.7381864623243933,0.7783132530120482,0.9887133182844243
