experiment,loss,arm,M,q,C,N,s_w,s_b,s_v,rho,n_draws,metric,value
eq3_6,squared,,64,,,64,1.0,0.5,,0.5,20000,mc_ratio_EQ_over_half_lamSh,1.0021493472776553
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,4.053036678666585
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,14.841220590768703
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,0.889006726788035
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,0.5353403155371657
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,3.6617533388943673
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,0.805
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,4.884013005221369
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,0.6110449971648538
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,1.205025612259736
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,1.4210854715202004e-14
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,4.15757736119641
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.025793174554793
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.01289753670767368
eq3_6,squared,,64,4,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,3.807153941908759e-16
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,1.0132591696666462
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,13.252394630958705
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,0.49347238908611574
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,1.7087480274025233
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,13.078978239415916
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,1.0
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,1.1428388000184635
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,0.13774863121461026
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,1.1278839947675459
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,3.552713678800501e-15
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,1.0207443815828603
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.0073872629434744
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.012751249944708052
eq3_6,squared,,64,16,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,1.2853538459272667e-15
features,,,256,,,64,,,,0.5,,lam_max_Sh,129.83237873031683
features,,,256,,,64,,,,0.5,,a0_emp_lam_Sh_over_M,0.5071577294153001
features,,,256,,,64,,,,0.5,,max_hn_sqnorm_over_M,1.0000000000000004
eq3_6,squared,,256,,,64,1.0,0.5,,0.5,20000,mc_mean_Q,65.05984419525335
eq3_6,squared,,256,,,64,1.0,0.5,,0.5,20000,mc_sem_Q,0.29811799904682745
