arch,M,seed,init_mode,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
deep_mlp,16,42,default_fixedbias,1024,850,0.0006063744770022903,1.8441942368785595,3041.345417431865
deep_mlp,16,43,default_fixedbias,1024,850,0.00017935402531373695,3.1299581715318383,17451.28477633399
deep_mlp,16,44,default_fixedbias,1024,850,0.00053343162853321,0.6876104461335139,1289.032013388957
deep_mlp,16,45,default_fixedbias,1024,850,0.00022460892260611182,1.0436411914757993,4646.481445912963
deep_mlp,16,46,default_fixedbias,1024,850,0.0012303273244244162,1.6376438484792233,1331.0635437974702
deep_mlp,32,42,default_fixedbias,1024,2722,0.0003277188395222385,2.8095791521446554,8573.138963388772
deep_mlp,32,43,default_fixedbias,1024,2722,0.0005361598338179403,1.4014184688997111,2613.80726512158
deep_mlp,32,44,default_fixedbias,1024,2722,0.0014638422347711846,3.539186027757851,2417.7373378703387
deep_mlp,32,45,default_fixedbias,1024,2722,0.00135582238099373,3.059205107449279,2256.3465173123045
deep_mlp,32,46,default_fixedbias,1024,2722,0.0012775881366997742,3.9724084581487515,3109.302868458182
deep_mlp,64,42,default_fixedbias,1024,9538,0.0009930233358204264,5.841733649197172,5882.775800400287
deep_mlp,64,43,default_fixedbias,1024,9538,0.00031717836275678505,6.420679859376344,20243.120632726685
deep_mlp,64,44,default_fixedbias,1024,9538,7.208797013408075e-05,3.2815893437857033,45522.010644523325
deep_mlp,64,45,default_fixedbias,1024,9538,0.0008003186551193331,7.295508425020299,9115.75455395637
deep_mlp,64,46,default_fixedbias,1024,9538,0.0003776271696868265,4.319247991600976,11437.863422759046
deep_mlp,128,42,default_fixedbias,1024,35458,0.0005666717994529104,9.989824452618778,17628.942294752254
deep_mlp,128,43,default_fixedbias,1024,35458,0.0005903469997575969,8.765593139793562,14848.204773451569
deep_mlp,128,44,default_fixedbias,1024,35458,0.0009492257026573995,10.32747342950592,10879.892317068216
deep_mlp,128,45,default_fixedbias,1024,35458,0.00036846703572340664,9.649084730456599,26187.10439459713
deep_mlp,128,46,default_fixedbias,1024,35458,0.0008227345707801224,9.8966897645164,12029.018976475358
deep_mlp,256,42,default_fixedbias,1024,136450,0.00047747346843494867,21.76355651575541,45580.66144929788
deep_mlp,256,43,default_fixedbias,1024,136450,0.0008597784144302003,20.720283662964572,24099.562532860862
