regime,arm,width,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,acc_reversed_val,acc_ctx_random_val,acc_spec_only_val,acc_iid_test,acc_reversed_test,acc_ctx_random_test,acc_spec_only_test,status,lr,tau,reached_star,probe_val_gain,probe_test_gain
ready,ctxfree,128,1.0,3,0.3,833,0.2998654842376709,0.9362916350364684,0.4469717442989349,0.5109113179855027,0.1141387149691581,11.094008445739746,0.9418333333333332,0.9685,0.9271666407585144,0.9201666712760924,0.9214999675750732,0.9303333163261414,0.956166684627533,0.9480000138282776,0.9516666531562804,0.9571666717529296,stopped,0.001,1.47454833984375,True,0.023166666666666558,0.007000000000000006
ready,ctxfree,128,1.0,3,0.2,1125,0.1998361051082611,0.9551666378974916,0.320489227771759,0.3728946791472714,0.1446846574544906,14.955777168273926,0.9431666666666666,0.9688333333333332,0.9419999718666076,0.9384999871253968,0.9381666779518129,0.9448333382606506,0.9676666855812072,0.965666651725769,0.9668332934379578,0.9710000157356262,stopped,0.001,1.47454833984375,True,0.024499999999999966,0.007333333333333192
ready,ctxfree,128,1.0,3,0.15,1403,0.1499169468879699,0.9632916450500488,0.2341281920671463,0.2747361229133276,0.1655874401330948,18.34898924827576,0.9443333333333332,0.9681666666666666,0.9488333463668824,0.94650000333786,0.9458333253860474,0.9483333230018616,0.9731666445732116,0.9706666469573976,0.972000002861023,0.9743333458900452,stopped,0.001,1.47454833984375,True,0.025666666666666615,0.006666666666666599
ready,ctxfree,128,1.0,3,0.1,2089,0.0999612584710121,0.9711250066757202,0.1268756538629531,0.1507035313321713,0.1979214251041412,26.64101529121399,0.9455,0.9671666666666666,0.9526666402816772,0.9513333439826964,0.9505000114440918,0.9519999623298644,0.977833330631256,0.975499987602234,0.9773333072662354,0.9769999980926514,stopped,0.001,1.47454833984375,True,0.026833333333333376,0.005666666666666598
ready,ctxfree,128,1.0,3,final,2089,0.0999612584710121,0.9711250066757202,0.1268756538629531,0.1507035313321713,0.1979214251041412,26.685546159744263,0.9455,0.9671666666666666,0.9526666402816772,0.9513333439826964,0.9505000114440918,0.9519999623298644,0.977833330631256,0.975499987602234,0.9773333072662354,0.9769999980926514,stopped,0.001,1.47454833984375,True,0.026833333333333376,0.005666666666666598
ready,ctxfree,128,1.0,4,init,0,0.7163184881210327,0.4703333377838135,0.4191046357154846,0.3556234724526605,0.0,0.0126857757568359,0.9346666666666666,0.9611666666666666,0.5693333148956299,0.3569999933242798,0.4648333191871643,0.4413333237171173,0.5773333311080933,0.3465000092983246,0.4601666629314422,0.4273333251476288,stopped,0.001,1.47454833984375,True,0.0,0.0
ready,ctxfree,128,1.0,4,0.6,506,0.5997718572616577,0.7640416622161865,0.4449391663074493,0.469403910894438,0.0459065437316894,6.14866828918457,0.9366666666666666,0.9625,0.7288333177566528,0.7566666603088379,0.7444999814033508,0.7803333401679993,0.7580000162124634,0.781166672706604,0.7731666564941406,0.812333345413208,stopped,0.001,1.47454833984375,True,0.0020000000000000018,0.0013333333333334085
ready,ctxfree,128,1.0,4,0.5,695,0.4996063113212585,0.8706666827201843,0.533817708492279,0.5792466032112366,0.0715678110718727,8.470535278320312,0.9391666666666666,0.9646666666666668,0.8496666550636292,0.8603333234786987,0.856166660785675,0.8834999799728394,0.8741666674613953,0.8888333439826965,0.8816666603088379,0.913166642189026,stopped,0.001,1.47454833984375,True,0.0044999999999999485,0.0035000000000001696
ready,ctxfree,128,1.0,4,0.4,852,0.3996366262435913,0.915499985218048,0.5270450711250305,0.5878017713257105,0.0950410738587379,10.401272773742676,0.9421666666666666,0.9653333333333332,0.9074999690055848,0.9020000100135804,0.9038333296775818,0.9211666584014891,0.9323333501815796,0.934666633605957,0.934166669845581,0.9506666660308838,stopped,0.001,1.47454833984375,True,0.007499999999999951,0.004166666666666541
ready,ctxfree,128,1.0,4,0.3,1032,0.2997435331344604,0.9389583468437196,0.4539201855659485,0.5175697761729526,0.1199560537934303,12.606759548187256,0.944,0.966,0.9351666569709778,0.9254999756813048,0.9293333292007446,0.9388332962989808,0.9553333520889282,0.9538333415985109,0.9545000195503236,0.96233332157135,stopped,0.001,1.47454833984375,True,0.009333333333333305,0.004833333333333356
ready,ctxfree,128,1.0,4,0.2,1318,0.1998044848442077,0.956458330154419,0.321752667427063,0.3751374298303153,0.1508093774318695,16.093559503555298,0.9453333333333332,0.9668333333333332,0.9483333230018616,0.9434999823570251,0.9455000162124634,0.946666657924652,0.9666666388511658,0.9643332958221436,0.9653333425521852,0.9701666831970216,stopped,0.001,1.47454833984375,True,0.010666666666666602,0.005666666666666598
ready,ctxfree,128,1.0,4,0.15,1595,0.1499524563550949,0.9644166827201844,0.2329039722681045,0.2748418404488512,0.1719987839460373,19.46969437599182,0.9478333333333332,0.9668333333333332,0.9516666531562804,0.950333297252655,0.950333297252655,0.9511666297912598,0.9716666340827942,0.9716666340827942,0.9706666469573976,0.9738333225250244,stopped,0.001,1.47454833984375,True,0.013166666666666549,0.005666666666666598
ready,ctxfree,128,1.0,4,0.1,2285,0.0999840497970581,0.9714999794960022,0.1260703057050705,0.1515207757364411,0.2046989798545837,27.816786527633667,0.9485,0.9671666666666666,0.9559999704360962,0.9555000066757202,0.9555000066757202,0.9541666507720948,0.9764999747276306,0.9773333072662354,0.9760000109672546,0.9774999618530272,stopped,0.001,1.47454833984375,True,0.013833333333333364,0.006000000000000005
ready,ctxfree,128,1.0,4,final,2285,0.0999840497970581,0.9714999794960022,0.1260703057050705,0.1515207757364411,0.2046989798545837,27.859625339508057,0.9485,0.9671666666666666,0.9559999704360962,0.9555000066757202,0.9555000066757202,0.9541666507720948,0.9764999747276306,0.9773333072662354,0.9760000109672546,0.9774999618530272,stopped,0.001,1.47454833984375,True,0.013833333333333364,0.006000000000000005
ready,ctxfree,8,1.0,0,init,0,0.7491105794906616,0.4982916712760925,1.1388901472091677,0.5672965720549451,0.0,0.0157897472381591,0.9116666666666666,0.9428333333333332,0.6725000143051147,0.3331666588783264,0.5066666603088379,0.5043333172798157,0.6775000095367432,0.3445000052452087,0.5106666684150696,0.5065000057220459,stopped,0.001,1.47454833984375,True,0.0,0.0
ready,ctxfree,8,1.0,0,0.6,577,0.5997236967086792,0.7349166870117188,0.4223617017269134,0.4397810566464815,0.0516111440956592,8.085171699523926,0.9331666666666666,0.962,0.7026666402816772,0.7319999933242798,0.7164999842643738,0.7371666431427002,0.7123333215713501,0.7746666669845581,0.7458333373069763,0.762333333492279,stopped,0.001,1.47454833984375,True,0.021499999999999964,0.019166666666666776
ready,ctxfree,8,1.0,0,0.5,792,0.4999869763851166,0.8477083444595337,0.4920303523540497,0.5447321985130733,0.0777921602129936,11.072157382965088,0.9385,0.9633333333333332,0.8223333358764648,0.8349999785423279,0.82833331823349,0.8364999890327454,0.8370000123977661,0.8738332986831665,0.8524999618530273,0.8658333420753479,stopped,0.001,1.47454833984375,True,0.026833333333333376,0.020499999999999963
