condition,noise,seed,lambda_sd,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
sd,0.15,46,0.1,0.24867325113721706,0.17811867696735817,0.12840175623373729,0.0830216035737258,0.16565164756349127,0.5229736328125,0.5826416015625,0.05966796875000002,0.3604163620620966,0.7973907649517059
sd,0.15,46,1.0,0.11493485920737098,0.11933919031632371,0.09796731653893267,0.05830089987890039,0.05663395932847059,0.5148345947265625,0.56195068359375,0.047116088867187544,0.5279739126563072,0.7047306776046753
joint,0.2,42,,0.31138271665846273,0.22834182752363003,0.1413478112010971,0.09988336224829973,0.211499354410163,0.5485504150390625,0.653839111328125,0.10528869628906246,0.2899443656206131,0.953896450996399
frozen,0.2,42,,,,,,,0.5465972900390625,0.577850341796875,0.031253051757812456,0.35742443799972534,0.8652660608291626
sd,0.2,42,0.001,0.3100950810348541,0.22772118275441355,0.1407580855749688,0.10401331695185964,0.20608176408299447,0.5482666015625,0.653717041015625,0.10545043945312504,0.29002162255346775,0.9490507543087006
sd,0.2,42,0.01,0.29731513437834073,0.22030572421125283,0.13635588551799463,0.08977511303743783,0.20754002134090288,0.5474761962890625,0.653900146484375,0.10642395019531248,0.29707323387265205,0.8928593814373016
sd,0.2,42,0.1,0.2530540343040056,0.18052555881423304,0.11789938495797166,0.07250214642621597,0.1805518878777896,0.551605224609375,0.65594482421875,0.104339599609375,0.3506430312991142,0.7601413667201996
sd,0.2,42,1.0,0.12449834648787429,0.10315878585289544,0.08058119540127456,0.05056316565203488,0.07393518083583941,0.5499237060546875,0.653564453125,0.10364074707031246,0.5265791416168213,0.687480366230011
joint,0.2,43,,0.28450814747399306,0.1864154844174122,0.12383459653968583,0.08833218479801433,0.19617596267597873,0.516357421875,0.640533447265625,0.124176025390625,0.28842751309275627,1.0682147026062012
frozen,0.2,43,,,,,,,0.542266845703125,0.659515380859375,0.11724853515625,0.34637872874736786,0.8577904641628266
sd,0.2,43,0.001,0.2833526253391185,0.18487125296050333,0.12515794642278788,0.08888395659573023,0.19446866874338825,0.5162567138671875,0.64056396484375,0.12430725097656248,0.28873060643672943,1.0506633520126343
sd,0.2,43,0.01,0.27633485169438793,0.1795710982765897,0.12584151599704607,0.08771062015177265,0.18862423154261526,0.5132415771484375,0.641326904296875,0.12808532714843746,0.29538716562092304,0.9905718684196472
sd,0.2,43,0.1,0.23168691800461505,0.14706011425960253,0.10732860005430883,0.06683259110750733,0.16485432689710772,0.5194183349609375,0.647613525390625,0.12819519042968752,0.35247115790843964,0.8158722281455993
sd,0.2,43,1.0,0.10688373123721834,0.08950485252665212,0.07806728697781845,0.04311122972305911,0.06377250151415922,0.5199798583984375,0.649169921875,0.12919006347656248,0.5260516665875912,0.7021344065666199
joint,0.2,44,,0.32613282218310763,0.21129139264652222,0.1328854666902232,0.09476861260352891,0.2313642095795787,0.5611572265625,0.65924072265625,0.09808349609375,0.28044626489281654,0.9506206095218659
frozen,0.2,44,,,,,,,0.595916748046875,0.652587890625,0.056671142578125,0.3474496826529503,0.784685879945755
sd,0.2,44,0.001,0.32523244257641853,0.21015029289628973,0.13180066158175063,0.08832599315747781,0.23690644941894073,0.5629608154296875,0.659149169921875,0.09618835449218754,0.2807385753840208,0.9378155469894409
sd,0.2,44,0.01,0.31690843089515286,0.20057646233957582,0.1307028807231585,0.09238114017215485,0.224527290722998,0.567266845703125,0.65960693359375,0.09234008789062498,0.290280407294631,0.8644076883792877
