arm,param,train_cond,width,mult,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,probe_acc,wall_s,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp,acc_iid,acc_reversed,acc_ctx_random,acc_spec_only,acc_ctx_only,status,lr,tau,reached_star,probe_acc_gain,h_u_gain,align_u_gain
mup,mup,iid,128,1.0,1.0,2,final,40000,0.1207724437117576,0.9531402587890624,0.0201281681656837,0.023618867385637,0.79754638671875,439.3711671829224,0.0225304946980062,0.2857758740507125,0.584702743143612,2.08239229616618,0.2568958596363276,3.243606081393151,3.895379438784524,0.524049563046354,0.9483642578125,0.05767822265625,0.5001220703125,0.584228515625,0.9432373046875,max_steps,0.001,1.70233154296875,True,0.1826171875,0.2276593675874885,0.0198580931468256
mup,mup,iid,128,1.0,1.0,3,init,0,0.7314186096191406,0.4486236572265625,0.3322386145591736,0.3327805083329822,0.6588134765625,0.0358150005340576,0.0050038553708904,0.0277369547482443,0.2427007094695735,0.571410294820385,0.0607063689166567,0.324714599145373,3.430983832665489,0.0,0.45294189453125,0.54315185546875,0.50286865234375,0.50006103515625,0.45556640625,max_steps,0.001,1.70233154296875,True,0.0,0.0,0.0
mup,mup,iid,128,1.0,1.0,3,0.6,766,0.5999943614006042,0.728485107421875,0.2641618847846985,0.2725063361641466,0.6588134765625,8.41426968574524,0.0050186955928728,0.0306464133114343,0.2432804989383298,0.6011760876125104,0.0599709710178541,0.3707998516548076,3.4340915631331246,0.0643251106297101,0.7315673828125,0.28460693359375,0.5167236328125,0.51324462890625,0.726806640625,max_steps,0.001,1.70233154296875,True,0.0,-0.0007353978988026005,1.4840221982400682e-05
mup,mup,iid,128,1.0,1.0,3,0.5,1528,0.4998824894428253,0.8236236572265625,0.2379465997219085,0.2508329160255224,0.66107177734375,16.7526957988739,0.0052813921955142,0.0441679085830007,0.2512093314760152,0.7264654687669687,0.0624635234988546,0.5356438690673548,3.4566989529747074,0.1184553951424136,0.825927734375,0.18634033203125,0.513671875,0.5216064453125,0.8206787109375,max_steps,0.001,1.70233154296875,True,0.00225830078125,0.0017571545821979048,0.0002775368246237999
mup,mup,iid,128,1.0,1.0,3,0.4,2496,0.3999175429344177,0.8687591552734375,0.2007462531328201,0.2154157852982911,0.66705322265625,27.3438880443573,0.005800142095187,0.0673929680364699,0.2663709583839836,0.9079770017155336,0.0680746114821258,0.8056869830342136,3.4975791926511346,0.1775782678196652,0.86865234375,0.14703369140625,0.51092529296875,0.52423095703125,0.86407470703125,max_steps,0.001,1.70233154296875,True,0.00823974609375,0.007368242565469106,0.0007962867242966003
mup,mup,iid,128,1.0,1.0,3,0.3,4027,0.2999597191810608,0.90087890625,0.1474103480577469,0.1616387148252905,0.67681884765625,44.07658863067627,0.0067503931279061,0.1032429907562592,0.292800467785608,1.1450844620311806,0.0789476077803184,1.2103994067324129,3.5637500242285967,0.2489731103975417,0.8983154296875,0.11279296875,0.50885009765625,0.52716064453125,0.896240234375,max_steps,0.001,1.70233154296875,True,0.01800537109375,0.018241238863661698,0.0017465377570157004
mup,mup,iid,128,1.0,1.0,3,0.2,7616,0.1999983936548233,0.9289093017578124,0.0827537775039672,0.0932569488205593,0.701171875,83.33280611038208,0.0089125083857596,0.1622904095463196,0.3473964145021063,1.482421769869557,0.1047247847694307,1.8665673690501865,3.679809667273696,0.349944904517882,0.92840576171875,0.0823974609375,0.50714111328125,0.532470703125,0.9249267578125,max_steps,0.001,1.70233154296875,True,0.0423583984375,0.044018415852774,0.003908653014869199
mup,mup,iid,128,1.0,1.0,3,0.15,13637,0.1499971747398376,0.9447479248046876,0.0414127595722675,0.049504061101872,0.73724365234375,147.76208972930908,0.0126021429962787,0.2146709822716558,0.4254465480634398,1.7559392007188654,0.14974924242144,2.439802701869594,3.789856819467573,0.43442460111831,0.941162109375,0.06829833984375,0.5072021484375,0.54669189453125,0.9385986328125,max_steps,0.001,1.70233154296875,True,0.07843017578125,0.0890428735047833,0.007598287625388301
mup,mup,iid,128,1.0,1.0,3,final,40000,0.1057327538728714,0.9596099853515624,0.0256995949894189,0.0287025073800443,0.87017822265625,439.3278896808624,0.0518159572372912,0.2646135280823963,0.8985617734706841,2.0305897879876222,0.4704585054654001,3.0632998683094845,3.947445803950013,0.554531912819856,0.95611572265625,0.07220458984375,0.5198974609375,0.70025634765625,0.94488525390625,max_steps,0.001,1.70233154296875,True,0.21136474609375,0.4097521365487434,0.04681210186640081
mup,mup,iid,128,1.0,1.0,4,init,0,0.7002389430999756,0.5272064208984375,0.3365432024002075,0.3116511828176155,0.603515625,0.0367767810821533,0.0019649360265562,0.0242259288887464,0.1550119995997905,0.5442912214485055,0.0267289186210487,0.2903903128770632,3.4969635927742284,0.0,0.527587890625,0.46954345703125,0.50042724609375,0.494873046875,0.52972412109375,max_steps,0.001,1.70233154296875,True,0.0,0.0,0.0
