dataset,block,seed,batch,rank,eigenvalue
breast,theta,1,0,19,27.805341209658327
breast,theta,1,0,20,26.355858809092247
breast,theta,1,0,21,24.00918109190457
breast,theta,1,0,22,21.672898780000565
breast,theta,1,0,23,20.980736194940867
breast,theta,1,0,24,20.1959340572356
breast,theta,1,0,25,18.466437748464244
breast,theta,1,0,26,17.818972934898277
breast,theta,1,0,27,17.55208334264991
breast,theta,1,0,28,17.260235879092686
breast,theta,1,0,29,16.160890192637364
breast,theta,1,0,30,15.599034869981915
breast,theta,1,0,31,14.794521811253205
breast,theta,1,0,32,13.91591968193868
breast,theta,1,0,33,13.637246161086281
breast,theta,1,0,34,12.761615320825916
breast,theta,1,0,35,12.343448526953223
breast,theta,1,0,36,12.178688512196532
breast,theta,1,0,37,10.681019746712579
breast,theta,1,0,38,10.464991295590053
breast,theta,1,0,39,9.912872309027703
breast,theta,1,0,40,9.844857060565394
breast,phi,1,0,1,186.76935887804424
breast,phi,1,0,2,128.94102507196766
breast,phi,1,0,3,86.96303485202084
breast,phi,1,0,4,50.340563971888734
breast,phi,1,0,5,44.412542708841926
breast,phi,1,0,6,40.59609700361044
breast,phi,1,0,7,35.7519720206356
breast,phi,1,0,8,33.11383298180243
breast,phi,1,0,9,30.498900125877178
breast,phi,1,0,10,29.08735949904869
breast,phi,1,0,11,26.063039425377998
breast,phi,1,0,12,25.009324006382016
breast,phi,1,0,13,23.69548514211847
breast,phi,1,0,14,21.70774679674911
breast,phi,1,0,15,20.3315942455917
breast,theta,1,1,1,792.1264555815786
breast,theta,1,1,2,338.55395155746737
breast,theta,1,1,3,259.4926217803484
breast,theta,1,1,4,187.55925480707361
breast,theta,1,1,5,141.43541220960637
breast,theta,1,1,6,116.11618725383121
breast,theta,1,1,7,95.68494354922086
breast,theta,1,1,8,90.03954937154448
breast,theta,1,1,9,80.69499110207084
breast,theta,1,1,10,76.333764667037
breast,theta,1,1,11,71.63203475775607
breast,theta,1,1,12,61.85963855038302
breast,theta,1,1,13,58.22542069988807
breast,theta,1,1,14,56.938170064400346
breast,theta,1,1,15,52.64211118404084
breast,theta,1,1,16,51.2403828751439
breast,theta,1,1,17,50.216465256620694
breast,theta,1,1,18,48.06213077083767
breast,theta,1,1,19,43.410720439343024
breast,theta,1,1,20,41.442828639085064
breast,theta,1,1,21,38.71902156796339
breast,theta,1,1,22,37.67274127470727
breast,theta,1,1,23,34.77046934695811
breast,theta,1,1,24,31.212193903529606
breast,theta,1,1,25,29.910366524663527
breast,theta,1,1,26,28.24303341458795
breast,theta,1,1,27,25.927364050157927
breast,theta,1,1,28,23.847958135554894
breast,theta,1,1,29,22.70346006280171
breast,theta,1,1,30,21.904276460287363
breast,theta,1,1,31,20.296216504555915
breast,theta,1,1,32,19.312548320100568
breast,theta,1,1,33,18.701752712422746
breast,theta,1,1,34,17.82656253400433
breast,theta,1,1,35,17.396083760308066
