noise,lr,weight_decay,seed,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
0.15,0.001,0.001,46,0.30441499746552525,0.28333754942044637,0.29927592472316933,0.08376204340795651,0.22065295405756874,0.60086669921875,0.606170654296875,0.005303955078124978,0.4661854933947325,0.6630682587623596
0.15,0.001,0.001,47,0.2977942590327726,0.2708567787448906,0.2936223670285085,0.06819506009471916,0.22959919893805347,0.4766998291015625,0.484039306640625,0.0073394775390625,0.4643664676696062,0.7255889475345612
0.15,0.003,0.0,42,0.2882007876479627,0.2292770370406867,0.15622917412430987,0.08224917832848282,0.20595160931947987,0.5394317626953125,0.688201904296875,0.14877014160156254,0.2013481669127941,1.5355486750602723
0.15,0.003,0.0,43,0.2522973210473942,0.2037329583726716,0.14574929584566085,0.08944602595937375,0.1628512950880205,0.515997314453125,0.667755126953125,0.15175781249999998,0.19588226731866598,1.8757331848144532
0.15,0.003,0.0,44,0.299811363420932,0.20826886296080022,0.16368661307405954,0.10161418003526988,0.1981971833856621,0.548614501953125,0.683990478515625,0.1353759765625,0.18952904362231493,1.5724186420440673
0.15,0.003,0.0,45,0.2564361830007284,0.19618801773449585,0.13812978973620962,0.06697054680893409,0.1894656361917943,0.5279449462890625,0.627410888671875,0.09946594238281248,0.19967789575457573,1.8469849228858948
0.15,0.003,0.0,46,0.3097905221167844,0.22653167422228582,0.14135661459498905,0.08376204340795651,0.22602847870882786,0.5162628173828125,0.593902587890625,0.07763977050781246,0.2007399145513773,1.760790753364563
0.15,0.003,0.0,47,0.2962810372625147,0.19646635207072358,0.15503790887333482,0.06819506009471916,0.22808597716779555,0.494366455078125,0.533966064453125,0.03959960937500001,0.20277651958167553,2.0094440817832946
0.15,0.003,0.001,42,0.2557033263680731,0.3305827894469196,0.300731201790825,0.15946172846931342,0.09624159789875966,0.6762939453125,0.68572998046875,0.009436035156250022,0.4673395734280348,0.6176777899265289
0.15,0.003,0.001,43,0.2589482339495803,0.3097250367990513,0.2896463836949304,0.08944602595937375,0.16950220799020654,0.56455078125,0.666046142578125,0.10149536132812498,0.46452438458800316,0.6819972395896912
0.15,0.003,0.001,44,0.27999735898270234,0.3094526625034183,0.27437837418669836,0.10161418003526988,0.17838317894743244,0.6893829345703125,0.695159912109375,0.005776977539062478,0.46305874921381474,0.6075507998466492
0.15,0.003,0.001,45,0.260543176208298,0.3317283890030897,0.3111979462751413,0.06697054680893409,0.19357262939936387,0.64805908203125,0.659820556640625,0.011761474609375044,0.4662895891815424,0.6358182609081269
